ltv,dti,fedti,eligibility
90.99999999999999,33.71895202449813,76.21640013610072,0
92.0,20.145423438836612,48.70915312232677,0
93.0,12.280080292832682,17.13826898098949,0
95.0,55.11221945137157,124.16417290108062,0
71.0,9.454425942156004,18.836765994741455,1
80.0,11.552139497533554,14.1414477457841,0
73.0,11.850134244569196,15.997803270685868,1
95.0,10.487065951992543,14.744465159636446,0
95.0,11.594202898550725,32.23154438405797,0
83.0,36.55001767408979,66.19158713326263,0
78.99999999999999,14.943103663873952,28.245842190821563,0
86.0,12.410663641520136,23.455587067498584,0
81.0,29.152308752584428,54.805421548357444,0
79.0,14.479739589179482,25.37591199910203,1
87.0,12.348643006263048,13.899060542797494,0
88.0,23.970223325062033,74.54466501240695,0
83.0,17.78379920136908,35.911294922989164,0
72.0,28.644501278772378,36.26399545325377,0
81.0,26.269662921348313,42.098651685393264,0
84.0,43.32634521313767,87.86617749825297,0
72.0,27.111324376199615,56.09069097888676,0
91.0,20.760233918128655,37.870796783625735,0
84.00000000000001,15.30823947836396,31.268079430942496,0
95.0,36.43790849673202,64.52222222222223,0
90.99999999999999,15.580838323353294,34.59017964071857,0
82.0,36.84210526315789,74.5959635931935,0
75.0,18.029029793735678,26.99751718869366,1
95.0,14.174903040160139,26.300763167771795,0
76.0,16.57638136511376,16.861940876025383,1
79.0,17.18551461245235,17.42010800508259,1
95.0,17.131925747484765,29.37523026781919,0
74.0,12.448740480374926,24.509666080843584,1
76.0,41.45952836201402,60.41523263224984,0
88.0,12.128633798317539,16.29049089553828,0
89.0,42.368421052631575,75.57938596491228,0
90.0,39.51831750339213,74.64179104477611,0
81.0,12.454032851189018,12.960161804363816,0
81.0,17.740998838559815,32.4954994192799,0
77.0,17.497456765005087,20.64869447270261,1
72.0,16.66179052077238,27.00980105324751,1
75.0,53.99201596806387,78.60429141716567,0
95.0,12.652472832113551,17.37602572632513,0
75.0,49.85687022900763,79.5415076335878,0
88.0,12.24179829890644,17.211016605913326,0
82.0,22.714343762698093,32.94087769199513,0
85.0,29.211136890951277,46.420649651972155,0
91.0,22.633482237821738,31.551584769198044,0
91.0,14.330585001963096,25.502682894909046,0
75.0,37.65895953757226,31.551445086705204,0
85.0,41.58767772511848,111.16074249605057,0
80.0,31.646030589949014,75.2509104151493,0
86.0,12.143911020315516,18.46260356372716,0
76.0,42.06798866855524,63.92882436260623,0
73.0,15.723673665651546,20.590639525564995,1
90.0,12.119876597620097,30.51718818862935,0
79.0,14.521359086423233,21.80769773015649,1
84.00000000000001,23.079584775086506,46.93944636678201,0
87.0,12.267755962577414,30.191066016602974,0
82.0,9.226552984165652,23.80562322371092,0
94.0,43.36618650492798,63.71683093252464,0
94.0,31.38942001274697,35.9251115360102,0
90.0,15.032249572199552,23.874687376596025,0
72.00000000000001,15.995065789473683,24.131030701754387,1
72.0,11.434046630469497,25.126903012881936,1
91.0,36.96741854636591,39.627192982456144,0
71.0,12.862341573597691,14.916677123854939,1
88.0,10.96392908090483,15.747197880578764,0
87.0,22.499466837278735,22.14928556195351,0
80.0,15.445649299127215,25.177995239354665,0
85.00000000000001,14.89126428308146,23.236515542449933,0
86.0,14.64874770922419,16.751863164324988,0
72.0,41.98501872659176,77.25917602996255,0
94.0,43.60113039967703,120.16875252321356,0
92.0,10.951276102088167,35.52969837587007,0
81.0,12.040092898178708,18.128468402395796,0
85.0,27.14030155890621,28.939432660362897,0
